,scan_type,scan_time,snr (dB),drift (Hz),drift_ppm(ppm),grad_perf(G/cm/ms),coil_type,error_temp (°C),sys_temp (°C),cyro_boiloff(liters/hour),rf_power (%),grad_temp (°C),grad_current (A),x_axis_pos (mm),y_axis_pos (mm),z_axis_pos (mm),preds
0,Spine,240,37.62213883,0.007063285,7063.28492,39.57832233,Spine Coil,34.31375237,33.97746814,5.304540985,43.44852802,33.50668861,62,-192.5955388,135.5235841,-33.10743298,No Error
1,Abdomen,418,41.60600257,0.01420307,14203.07016,39.5360767,Abdomen Coil,35.4817074,35.37038436,3.495947908,46.48600516,33.52775139,39,138.301853,-32.50706035,135.0502757,No Error
2,Pelvis,703,41.01828825,0.015255311,15255.31052,41.93580466,Pelvis Coil,35.39680592,34.96088566,5.979221758,51.68709814,33.4891996,36,-150.2273806,147.7687446,7.24719088,No Error
3,Angio,537,42.14272567,0.007087122,7087.122254,41.58515711,Angio Coil,35.07397911,35.35547097,6.273893948,50.3280098,36.9638117,57,58.82420869,-75.3825197,194.9470488,No Error
4,Knee,656,36.33292873,0.018037449,18037.44935,38.56378712,Knee Coil,35.16032651,34.86497257,3.759597044,41.71866554,35.30372058,44,175.6996241,-131.7713138,-167.5931405,No Error
5,Knee,201,37.9122104,0.007237443,7237.443122,46.52185626,Knee Coil,34.34576338,34.721617,14.33158405,52.11710562,36.14236938,27,176.2570625,156.4820335,-148.3557668,111
6,Abdomen,197,39.003082,0.00732951,7329.509772,29.20859598,Abdomen Coil,34.00491781,33.73762576,4.520660697,44.77952208,39.37734426,24,121.8923068,110.3891434,180.206822,No Error
7,Hand,268,42.58960235,0.007919661,7919.660609,21.67773353,Hand Coil,34.22711066,34.19311617,4.036803186,48.15506597,36.34963377,48,-119.8203274,20.09182642,150.7281363,7
8,Knee,519,36.36087297,0.015143162,15143.16169,47.01733706,Knee Coil,35.25221054,35.54710979,3.967934128,47.00220584,39.32503976,39,-198.7995699,180.0050704,198.8693919,No Error
9,Chest,384,36.21054134,0.010432491,10432.4906,38.01761197,Chest Coil,34.09592883,34.08885072,5.205883435,47.38096427,34.11003961,23,123.4053586,-65.36216728,139.3547772,No Error
